X,Y
80.1988835,22.4186423
76.7196541,24.0050301
74.877176,24.4611526
79.17156,26.6645697
79.1941984,26.7541888
79.2629351,26.7434393
79.0254762,26.7756191
77.3227373,28.5802747
77.3146721,28.636629
77.3550818,28.659564
77.4572027,28.6393343
77.4249813,28.6394831
77.3170505,28.6438531
77.3472686,28.6552668
77.3538527,28.6588641
77.3743659,28.6278523
77.374165,28.6238954
83.0096633,25.3373205
83.0464194,25.39181
82.9748105,25.3134796
82.8816272,25.3281549
83.0980051,25.2813328
83.0923971,25.2815578
83.1151644,25.2767128
83.1150231,25.2751766
83.1153008,25.2745234
83.1153303,25.2744871
83.1250439,25.2861138
83.1715897,25.2847919
83.1547006,25.2676276
83.1616817,25.2675538
83.0785815,25.2935288
82.9869046,25.2607032
82.8731883,25.2743313
82.8810934,25.2723107
83.1095897,25.2865765
82.9867047,25.3249036
82.8387803,25.3389942
82.8914955,25.4378115
82.8445686,25.2623801
83.0246349,25.3309591
82.9698456,25.2980372
82.9703252,25.2934446
82.9620662,25.2886126
82.9537459,25.2867425
82.9603705,25.2882837
82.9503189,25.2860299
83.0214924,25.3307536
83.0270588,25.3561063
82.9761232,25.3194597
82.945096,25.358956
82.9606497,25.3592282
82.9729267,25.3045406
82.9703041,25.3206082
82.9179271,25.3989536
82.9373665,25.3703969
82.9294505,25.3820582
83.0275727,25.3439464
83.0268348,25.3686344
83.0304117,25.3733867
83.0273913,25.3795135
82.9371158,25.2830505
82.941853,25.2841462
82.9757332,25.3193092
82.9660771,25.3288444
82.9141076,25.2779627
82.8947269,25.2736116
82.8937075,25.2733634
82.9030853,25.2754747
82.9273132,25.2809001
82.9215956,25.2795867
82.9667609,25.2952972
82.969087,25.2971134
82.9579098,25.3191437
82.9579532,25.3189527
82.9347862,25.314852
82.9347619,25.3146077
82.8901481,25.3258939
82.9013504,25.3229254
78.4762663,21.6199771
78.0301324,29.9266956
77.3439565,28.5824162
78.0965643,27.21688
78.1176249,27.2205843
77.9922318,27.1702932
77.3727778,28.609915
77.3728101,28.6100058
77.3743467,28.6239064
77.3729741,28.6099035
77.3729824,28.6099955
77.3745353,28.6278474
77.3150936,28.5807591
77.9655001,27.0640199
77.9694223,27.0797425
77.9724572,27.0910061
77.9764775,27.1059522
77.9790437,27.115778
77.9582517,27.0451443
77.8498446,27.1472173
77.9652726,27.1673366
77.9319799,27.1575731
77.9189061,27.1560561
77.8922793,27.1540527
77.8882023,27.154045
77.9418367,27.2125207
77.9272667,27.2159252
77.9358829,27.2137533
77.8382376,27.2381548
77.8609074,27.2325032
77.8807384,27.2275538
77.8144725,27.2574811
81.5270279,21.2484575
81.2734597,21.2049723
77.3735418,28.6176758
77.3737928,28.6179787
77.3734822,28.6179294
77.3143188,28.6366471
77.3171435,28.6454561
77.4394674,28.6517417
77.4430498,28.6367525
77.4531747,28.6414546
77.344175,28.5713912
77.5216154,28.5368196
77.5637067,28.5789761
83.0268333,25.3613301
