,Route,Airline,Source,Destination,Total_Stops
0,BLR → AMD → DEL,Air India,Banglore,New Delhi,1 stop
1,BLR → BBI → DEL,Air India,Banglore,New Delhi,1 stop
2,BLR → BDQ → DEL,Jet Airways,Banglore,New Delhi,1 stop
3,BLR → BOM → AMD → DEL,Air India,Banglore,New Delhi,2 stops
4,BLR → BOM → BHO → DEL,Air India,Banglore,New Delhi,2 stops
5,BLR → BOM → DEL,Jet Airways,Banglore,New Delhi,1 stop
6,BLR → BOM → IDR → DEL,Air India,Banglore,New Delhi,2 stops
7,BLR → BOM → IDR → GWL → DEL,Air India,Banglore,New Delhi,3 stops
8,BLR → BOM → IXC → DEL,Air India,Banglore,New Delhi,2 stops
9,BLR → BOM → JDH → DEL,Air India,Banglore,New Delhi,2 stops
10,BLR → BOM → NAG → DEL,Air India,Banglore,New Delhi,2 stops
11,BLR → BOM → UDR → DEL,Air India,Banglore,New Delhi,2 stops
12,BLR → CCU → BBI → DEL,Air India,Banglore,New Delhi,2 stops
13,BLR → CCU → BBI → HYD → DEL,Air India,Banglore,New Delhi,3 stops
14,BLR → CCU → BBI → HYD → VGA → DEL,Air India,Banglore,New Delhi,4 stops
15,BLR → CCU → DEL,Air India,Banglore,New Delhi,1 stop
16,BLR → CCU → GAU → DEL,Air India,Banglore,New Delhi,2 stops
17,BLR → COK → DEL,Air India,Banglore,New Delhi,1 stop
18,BLR → DEL,IndiGo,Banglore,New Delhi,non-stop
19,BLR → GAU → DEL,Air India,Banglore,New Delhi,1 stop
20,BLR → GOI → DEL,GoAir,Banglore,New Delhi,1 stop
21,BLR → HBX → BOM → AMD → DEL,Air India,Banglore,New Delhi,3 stops
22,BLR → HBX → BOM → BHO → DEL,Air India,Banglore,New Delhi,3 stops
23,BLR → HBX → BOM → NAG → DEL,Air India,Banglore,New Delhi,3 stops
24,BLR → HYD → DEL,IndiGo,Banglore,New Delhi,1 stop
25,BLR → HYD → VGA → DEL,Air India,Banglore,New Delhi,2 stops
26,BLR → IDR → DEL,IndiGo,Banglore,New Delhi,1 stop
27,BLR → LKO → DEL,IndiGo,Banglore,New Delhi,1 stop
28,BLR → MAA → DEL,Air India,Banglore,New Delhi,1 stop
29,BLR → NAG → DEL,IndiGo,Banglore,New Delhi,1 stop
30,BLR → PNQ → DEL,SpiceJet,Banglore,New Delhi,1 stop
31,BLR → STV → DEL,IndiGo,Banglore,New Delhi,1 stop
32,BLR → TRV → COK → DEL,Air India,Banglore,New Delhi,2 stops
33,BLR → VGA → DEL,Air India,Banglore,New Delhi,1 stop
34,BLR → VGA → HYD → DEL,Air India,Banglore,New Delhi,2 stops
35,BLR → VGA → VTZ → DEL,Air India,Banglore,New Delhi,2 stops
36,BOM → AMD → ISK → HYD,Air India,Mumbai,Hyderabad,2 stops
37,BOM → BBI → HYD,Air India,Mumbai,Hyderabad,1 stop
38,BOM → BDQ → DEL → HYD,Jet Airways,Mumbai,Hyderabad,2 stops
39,BOM → BHO → DEL → HYD,Air India,Mumbai,Hyderabad,2 stops
