X,Y
"76.326697","10.3190855"
"76.2825248","10.4001906"
"76.2412538","10.4739052"
"77.5858648","12.9172041"
"77.5941775","13.0952244"
"76.3534223","10.1381492"
"77.6200421","12.9746527"
"77.6232203","12.9815923"
"77.619186","12.9726314"
"80.2651669","13.0807843"
"80.2627848","13.0802951"
"80.2587734","13.0794309"
"80.2546809","13.0789975"
"80.2516867","13.0788878"
"80.2501014","13.0788576"
"80.2444133","13.0779389"
"80.2406122","13.0773336"
"80.2380064","13.0766849"
"80.2338977","13.0758601"
"80.2247736","13.0739518"
"80.2816254","13.0822677"
"80.2396728","13.0310987"
"80.2455793","13.034831"
"80.2576907","13.0577844"
"80.2712749","13.0681313"
"80.2743139","13.0716541"
"80.2743746","13.0717936"
"80.103455","12.9149338"
"80.21188","13.0499473"
"80.2566429","13.0380739"
"80.2470651","13.0394702"
"80.2497725","13.0287832"
"80.2571665","13.0388392"
"80.2460514","13.0355813"
"80.2474759","12.8976224"
"80.2562055","12.9616653"
"80.2528025","12.9387417"
"78.6858974","10.827063"
"77.4901355","10.0053639"
"77.9483239","9.9380072"
"76.8860507","9.5372482"
"76.7547181","9.5655553"
"80.2882131","13.0800515"
"80.2878017","13.078726"
"80.2773968","13.033452"
"80.2739707","13.0240343"
"80.2020302","13.0722465"
"80.2006685","13.0697591"
"80.2231983","13.0114299"
"80.2513237","12.9878411"
"77.6067621","12.9661186"
"77.6059822","12.9580248"
"77.6019168","12.9599337"
"77.6102784","12.9705275"
"77.6253351","12.9400273"
"77.6225279","12.9427582"
"77.6143093","12.9684273"
"77.6202156","12.952415"
"77.6214774","12.9516788"
"77.5043062","12.960517"
"77.5043695","12.960513"
"77.5840428","12.9613763"
"77.1848074","12.2876507"
"77.5852663","12.9541872"
"77.5497782","12.9380276"
"80.2436336","13.0659868"
"75.660321","11.5146805"
"80.2635724","13.0446855"
"80.2473989","13.0067719"
"80.2516348","13.0067735"
"80.2612947","13.0187137"
"80.2659605","13.0262774"
"80.2676972","13.0367934"
"80.2654066","13.0583"
"80.2806834","13.0500527"
"80.2598607","13.0453213"
"80.2565744","13.0270995"
"80.2676268","13.0368223"
"80.2213325","12.9760873"
"79.4390308","13.6294533"
"76.9510003","11.0303239"
"76.9473789","11.044921"
"80.2330666","13.0474161"
"76.6702435","8.8105217"
"77.9359327","8.862881"
"76.2168505","10.3471245"
"76.8755639","10.6299904"
"76.7425775","10.7019401"
"76.6561942","10.7855297"
"76.2802308","10.7815823"
"77.4352719","11.4549516"
"77.5737822","12.9484823"
"75.5761451","13.9361927"
"78.3825455","14.844611"
"79.9850925","14.8695517"
"77.3551678","15.9359165"
"75.6125022","16.1862725"
"81.915296","16.9269311"
"78.5110462","17.3912948"
"78.5365375","17.4818456"
"77.5734981","17.6942684"
"78.0916217","17.7184183"
"77.5869253","12.9656578"
"77.5851479","12.9636229"
"77.5821331","12.9577464"
"76.9511475","11.0284427"
"76.9604079","11.0188947"
"77.0236453","11.0275845"
"77.0208783","11.0263851"
"77.0176778","11.025759"
"80.2457626","13.0295538"
"80.2410929","13.0181555"
"80.2537859","13.0271898"
"80.2526097","12.9798977"
"76.9708653","11.0207847"
"76.9685625","11.0171035"
"76.9529398","11.0199373"
"76.9512074","11.0269678"
"80.2304109","13.0350262"
"80.2313679","13.0260918"
"76.941484","11.0801936"
"76.9475784","11.0904325"
"77.5511245","11.2575595"
"80.0107295","13.0183033"
"76.951054","8.5040448"
"76.9567076","8.5091149"
"76.9671356","10.9943418"
"80.2903598","13.0888458"
"80.2764982","13.0737818"
"80.2752963","13.0923212"
"80.2695298","13.092246"
"80.2852912","13.0884768"
"80.2548396","13.0466756"
"80.2445937","13.043383"
"80.2240541","13.0532988"
"80.1560876","13.0347846"
"80.2502938","13.0537665"
"78.0820437","10.9560629"
"78.1302638","10.9421042"
"80.2507557","13.052391"
"80.2509806","13.0520382"
"80.2509799","13.0525591"
"80.2120421","13.0037866"
"80.2164696","12.9972779"
"76.9549897","8.484555"
"77.424942","8.1782654"
"77.4318944","8.1745732"
"77.4326436","8.1641989"
"77.6005725","12.907437"
"80.2743308","13.043362"
"80.2564883","13.0289174"
"77.6101681","12.9164393"
"77.6152765","12.9163018"
"77.6005936","12.9284001"
"77.6051573","12.9526686"
"77.5955342","12.9459107"
"80.285796","13.0741428"
"80.2555597","13.0368733"
"80.2562967","13.037841"
"80.2569506","13.0378885"
"80.1170762","13.045387"
"77.5944681","12.9621574"
"77.5967179","12.9646769"
"77.600212","12.9679192"
"77.6070148","12.9721256"
"80.2629004","13.0620544"
"77.5857316","12.9555334"
"77.5913472","12.9538826"
"77.9896121","13.0030322"
"80.2536651","13.0484677"
"77.610479","12.8929011"
"77.5285693","12.9454711"
"77.5500441","12.9253034"
"77.5734546","12.9064246"
"77.5427034","12.9057665"
"77.5612878","12.9266771"
"77.566296","12.9288776"
"77.5744772","12.9208734"
"77.5735395","12.9210856"
"77.5736196","12.9294201"
"80.2435436","13.0657569"
"80.2375933","13.0343838"
"77.5738183","12.9369042"
"77.5597809","12.9362347"
"77.5736802","12.9437041"
"77.5678527","12.9436325"
"77.5800932","12.9436584"
"77.5753517","12.9368751"
"77.5715572","12.9390748"
"77.5666834","12.9393825"
"77.5736454","12.916966"
"77.5532824","12.9240071"
"77.5532539","12.9239288"
"77.5972154","12.9284545"
"77.5839087","12.9329073"
"77.5761739","12.9309078"
"77.5951629","12.9206044"
"77.5860491","12.9262945"
"77.589541","12.917181"
"77.5950065","12.9169197"
"77.5968991","12.9168688"
"77.5673721","12.9571605"
"77.5696091","12.957309"
"77.5700739","12.9482704"
"77.5463249","12.9279676"
"77.5758651","12.9622807"
"77.5745112","12.9597915"
"77.599624","12.9907397"
"77.5927032","12.989754"
"77.6065554","12.9779781"
"77.6144687","12.9754292"
"77.6100644","12.98099"
"77.609805","12.9925975"
"77.6072115","12.9936479"
"77.5558518","12.9595279"
"77.5376362","12.950334"
"77.5341001","12.9577314"
"77.5331544","12.9600479"
"77.5355509","12.9660121"
"77.5447325","12.9741273"
"77.548233","12.9752543"
"77.5592663","12.9613737"
"77.5685496","12.9605005"
"77.5772014","12.9563509"
"77.5865182","12.9657245"
"77.5810224","12.9729254"
"77.5947156","12.9762574"
"77.5919837","12.9555305"
"80.2158831","12.963531"
"77.577576","12.9511163"
"77.5799538","12.9485876"
"80.2574993","13.0067416"
"80.2574878","13.0065529"
"77.5591727","12.9610125"
"77.5463943","12.956011"
"77.573816","12.9397776"
"77.5736444","12.9405702"
"80.256935","13.0333235"
"80.2566508","13.0308997"
"80.2642145","13.0539183"
"80.2667369","13.0446531"
"77.5742864","12.9198787"
"76.8850766","8.7681133"
"76.8196706","8.9747146"
