X,Y
"72.7956189","19.6076217"
"74.7158578","19.0240022"
"73.8090272","15.5888385"
"73.8211398","15.4950818"
"72.9947821","19.2918791"
"72.8829823","19.3540218"
"72.8602629","19.3672062"
"72.9976715","19.0624643"
"74.7870831","17.6363346"
"73.8240279","18.4784371"
"73.86413","18.4689884"
"73.8615652","18.4786543"
"73.815297","18.5018709"
"73.818325","18.5028109"
"73.9126293","18.5063593"
"73.8984342","18.5065704"
"73.8456423","18.5012279"
"73.8581029","18.4966935"
"73.8787313","18.5028299"
"73.8751985","18.5019652"
"73.8583493","18.501211"
"73.8843062","18.506508"
"73.8340633","18.5100416"
"73.8436096","18.5095523"
"73.8373048","18.5115953"
"73.8432571","18.5112473"
"73.8459983","18.5106379"
"73.8289046","18.5153885"
"73.8313974","18.5147794"
"73.8415826","18.5137712"
"73.8523177","18.5144753"
"73.8537421","18.5145251"
"73.8433202","18.5170977"
"73.8562866","18.5156694"
"73.8562138","18.518542"
"73.8413694","18.5246803"
"73.8774971","18.5214715"
"73.8579348","18.5238605"
"73.8531741","18.525804"
"73.8786464","18.5246718"
"73.8633747","18.5279009"
"73.8972683","18.5271932"
"73.8632048","18.5298097"
"73.8791792","18.5284928"
"73.879282","18.5285141"
"73.8788855","18.5336216"
"73.8796807","18.5347471"
"73.8171409","18.5470693"
"73.9037093","18.5390186"
"73.8855119","18.5394045"
"73.8830461","18.5398877"
"73.8167597","18.5555008"
"73.8710518","18.5487727"
"73.8888933","18.5457372"
"73.8091826","18.5606155"
"73.8896784","18.5527046"
"73.9279372","18.562723"
"73.797925","18.5817261"
"73.4043777","18.7540095"
"73.3733965","18.7584876"
"73.2884961","18.7963261"
"72.8217366","18.9143089"
"72.8236255","18.9164885"
"72.8255542","18.9187946"
"72.8290725","18.9189023"
"72.8263833","18.9210264"
"72.8311822","18.9218402"
"72.8293859","18.9228115"
"72.832318","18.9250427"
"72.8321085","18.9250738"
"72.8325481","18.9252387"
"72.8319444","18.9253612"
"72.8325633","18.9253039"
"72.8319897","18.9255071"
"72.8321984","18.925623"
"72.8280343","18.9263905"
"72.8270585","18.9264383"
"72.8217046","18.9275545"
"72.8216338","18.9276036"
"72.8217873","18.9296497"
"72.8259555","18.9304538"
"72.8313162","18.9318805"
"72.827991","18.9328702"
"72.837098","18.9344956"
"72.8308679","18.9353852"
"72.8241691","18.9369723"
"72.8273702","18.9371755"
"72.8379803","18.9382417"
"72.8359405","18.938479"
"72.8369542","18.9384195"
"72.8346296","18.938707"
"72.8271411","18.9390006"
"72.8295327","18.9417592"
"72.8233596","18.9425729"
"72.8272935","18.942228"
"72.8269","18.9424"
"72.8290585","18.9461837"
"72.8202304","18.9505948"
"72.8174415","18.9528233"
"72.8340943","18.9529382"
"72.8160857","18.9528756"
"72.8079656","18.9554414"
"72.8159727","18.9557353"
"72.8155538","18.9567596"
"72.8124464","18.9556745"
"72.8100617","18.9560119"
"72.816535","18.9571303"
"72.8100622","18.9561478"
"72.8196988","18.9573515"
"72.8369017","18.9567022"
"72.8108785","18.9581141"
"72.842675","18.9572837"
"73.1579688","18.957113"
"72.8262938","18.9581277"
"72.8100009","18.9590811"
"72.8438353","18.9600045"
"72.8093228","18.9602543"
"72.8432445","18.9601312"
"72.8174871","18.9619218"
"72.8199169","18.9618905"
"72.8375468","18.962028"
"72.8183317","18.9638346"
"72.8440048","18.9635458"
"72.8058471","18.9643233"
"72.8050696","18.9646146"
"72.8043564","18.9646626"
"72.8190638","18.9658338"
"72.818898","18.9659438"
"72.8323878","18.9656253"
"72.8286612","18.9670699"
"72.814155","18.9676185"
"72.8264423","18.9676275"
"72.8448414","18.9675964"
"72.8207159","18.968778"
"72.840717","18.9687039"
"72.815184","18.9692596"
"72.8154416","18.9692408"
"72.8322813","18.9713271"
"72.8148681","18.9722829"
"72.8218675","18.9719442"
"72.8337302","18.9740833"
"72.8091223","18.9741628"
"72.8320527","18.9742992"
"73.1250554","18.9745011"
"72.8064571","18.9751557"
"72.8337127","18.9754633"
"72.8187804","18.9793985"
"72.8320862","18.9796551"
"72.8267327","18.9806476"
"72.827013","18.9807145"
"72.8343741","18.98054"
"72.8263865","18.980936"
"72.8137996","18.9816303"
"72.8266108","18.981377"
"72.8268848","18.981399"
"72.8347255","18.9816605"
"72.8237987","18.9824892"
"72.8353865","18.9839822"
"72.8421058","18.9853224"
"72.8427","18.9859"
"73.1159719","18.987827"
"72.8359055","18.9884696"
"72.8225378","18.9889734"
"72.8139364","18.9901388"
"72.8357442","18.9908245"
"72.8208489","18.9921367"
"72.8146566","18.9936513"
"72.8365453","18.9954077"
"72.8374141","18.9977143"
"72.8553463","19.000099"
"72.8273935","18.9982012"
"72.8537178","19.0005127"
"72.8156582","19.0012966"
"72.8387313","19.0032753"
"72.8539461","19.0048331"
"72.8396166","19.0054639"
"72.8309043","19.0050359"
"72.830884","19.0063043"
"72.8215129","19.006213"
"72.8182504","19.0062659"
"72.8332775","19.0093083"
"72.8418985","19.0096437"
"72.8306494","19.0092568"
"72.8424216","19.0104558"
"72.8319758","19.0111453"
"72.8543878","19.0112864"
"72.8435421","19.0120149"
"72.8219278","19.011987"
"72.8492391","19.0126612"
"72.823958","19.0128837"
"72.8238738","19.0132009"
"72.8281128","19.013045"
"72.8336388","19.0133383"
