,name,lat,lon
25023,Chanda Airport,19.9947,79.2225
25024,Birlagram Airport,23.4469,75.4203
25025,Muirpur Airport,24.1252,83.0406
25026,Bhilai Airport,21.2942,81.3795
25027,Sidhi Airport,24.4023,81.8148
25028,Chorhata Airport,24.5034,81.2203
25029,Ondwa Airport,25.1415,74.6115
25030,Dhana Airport,23.7536,78.8558
25031,Raedhanpur Airport,23.2223,68.8913
25032,Amla Airport,21.9264,78.1136
25033,Karad Airport,17.2859,74.1581
25034,Nimach Airport,24.4308,74.8678
25035,Burhar Airport,23.2352,81.5037
25036,Diu Airport,20.7131,70.9211
25043,Phalodi Airport,27.1129,72.389
25044,Meerut Sw Airport,28.9049,77.6773
25045,Gondia Airport,21.5262,80.2904
25046,Ratlam Airport,23.3814,75.0256
25049,Sirohi Airport,24.8951,72.8459
25053,Jalgaon Airport,20.9622,75.6267
25056,Banswara Airport,23.5897,74.3127
25058,Dhulia Airport,20.9265,74.7371
25071,Abu Road Airport,24.4942,72.7815
25083,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347
25084,Akola Airport,20.699,77.0586
25085,Aurangabad Airport,19.8627,75.3981
25086,Chhatrapati Shivaji International Airport,19.0887,72.8679
25087,Bilaspur Airport,21.9884,82.111
25088,Bhuj Airport,23.2878,69.6702
25089,Belgaum Airport,15.8593,74.6183
25090,Vadodara Airport,22.3362,73.2263
25091,Bhopal Airport,23.2875,77.3374
25092,Bhavnagar Airport,21.7522,72.1852
25093,Daman Airport,20.4344,72.8432
25094,Deesa Airport,24.2679,72.2044
25095,Guna Airport,24.6547,77.3473
25096,Hubli Airport,15.3617,75.0849
25097,Rajkot International Airport,22.381915,71.031681
25098,Devi Ahilyabai Holkar Airport,22.7218,75.8011
25099,Jabalpur Airport,23.1778,80.052
25100,Juhu Aerodrome,19.0981,72.8342
25101,Jamnagar Airport,22.4655,70.0126
25102,Kandla Airport,23.1127,70.1003
25103,Khajuraho Airport,24.8172,79.9186
25104,Kolhapur Airport,16.6647,74.2894
25105,Keshod Airport,21.3171,70.2704
25106,Murod Kond Airport,18.4115,76.4647
25107,Nanded Airport,19.1833,77.3167
25108,Dr. Babasaheb Ambedkar International Airport,21.0922,79.0472
25109,Gandhinagar Airport,19.9637,73.8076
25110,Ozar Air Force Station,20.1191,73.9129
25111,Pune Airport,18.5821,73.9197
25112,Porbandar Airport,21.6487,69.6572
25113,Ratnagiri Airport,17.0136,73.3278
25114,Rajkot Airport,22.3092,70.7795
25115,Raipur Airport,21.1804,81.7388
25116,Solapur Airport,17.628,75.9348
25117,Surat Airport,21.1141,72.7418
25118,Maharana Pratap Airport,24.6177,73.8961
25146,Burnpur Airport,23.6315,86.9755
25147,Sookerating Airport,27.5529,95.5706
25148,Nuagaon Airport,20.5117,83.4481
25149,Giridih Airport,24.2019,86.2898
25150,Hashimara Air Force Station,26.6983,89.3691
25151,Daltonganj Airport,24.0193,84.0951
25152,Cuttack Airport,20.5496,85.8863
25153,Machuka Advanced Landing Ground,28.60246,94.12614
25154,Vijaynagar Advanced Landing Ground,27.1936,97.0037
25155,Thuniabhand Airport,22.0016,78.9172
25156,Azamgarh Airport,26.153333,83.118333
25157,Savitri Jindal Airport,20.91056,85.035
25158,Along Airport,28.1753,94.802
25159,Agartala Airport,23.887,91.2404
25160,Maharishi Valmiki International Airport,26.74803,82.15078
25161,Behala Airport,22.50423,88.29343
25162,Bagdogra Airport,26.6812,88.3286
25163,Balurghat Airport,25.2617,88.7956
25164,Shillong Airport,25.7036,91.9787
25165,Bokaro Airport,23.6435,86.1489
25166,Lal Bahadur Shastri Airport,25.45117,82.85867
25167,Biju Patnaik Airport,20.2444,85.8178
25168,Chabua Air Force Station,27.4622,95.1177
25169,Netaji Subhash Chandra Bose International Airport,22.6547,88.4467
25170,Chakulia Airport,22.4606,86.7078
25171,Cooch Behar Airport,26.3305,89.4672
25172,Chitrakoot Airport,25.167694,80.9358
25173,Dhanbad Airport,23.834,86.4253
25174,Darbhanga Airport,26.1928,85.9169
25175,Deoghar Airport,24.44567,86.707
25176,Kalaikunda Air Force Station,22.3395,87.2145
25177,Daporijo Airport,27.9855,94.2228
25178,Gorakhpur Airport,26.7397,83.4497
25179,Lokpriya Gopinath Bordoloi International Airport,26.1061,91.5859
25180,Gaya Airport,24.7443,84.9512
25181,Hirakud Airport,21.5802,84.0057
25182,Donyi Polo Airport,26.971841,93.642308
25183,Imphal Airport,24.76,93.8967
25184,Jharsuguda Airport,21.91483,84.04867
25185,Jeypore Airport,18.88,82.552
25186,Jamshedpur Airport,22.8132,86.1688
25187,Jorhat Airport,26.7315,94.1755
25188,Kushinagar Airport,26.77267,83.89533
25189,Kamalpur Airport,24.1317,91.8142
25190,Kailashahar Airport,24.3082,92.0072
25191,Silchar Airport,24.9129,92.9787
25192,Khowai Airport,24.0619,91.6039
25193,Lengpui Airport,23.8406,92.6197
25194,North Lakhimpur Airport,27.2955,94.0976
25195,Malda Airport,25.01116,88.1305
25196,Dibrugarh Airport,27.4839,95.0169
25197,Dimapur Airport,25.8839,93.7711
25198,Muzaffarpur Airport,26.1191,85.3137
25199,Nawapara Airport,20.87,82.5196
25200,Pasighat Airport,28.0661,95.3356
25201,Panagarh Air Force Station,23.4743,87.4275
25202,Barrackpore Air Force Station,22.781,88.3592
25203,Lok Nayak Jayaprakash Airport,25.5913,85.088
25204,Purnea Airport,25.7596,87.41
25205,Pakyong Airport,27.2325,88.588333
25206,Birsa Munda Airport,23.3143,85.3217
25207,Rourkela Airport,22.2567,84.8146
25208,Raxaul Airport,26.99638,84.82056
25209,Rupsi India Airport,26.1397,89.91
25210,Tezu Airport,27.9412,96.1344
25211,Tezpur Airport,26.7091,92.7847
25212,Utkela Airport,20.0974,83.1838
25213,Zero Airport,27.5883,93.8281
25259,Bhilwara Airport,28.0771,76.205
25260,Karnal Airport,29.7141,77.0375
25261,Suratgarh New Airport,29.3878,73.9039
25262,Thoise Airport,34.6526,77.3758
25263,Kargil Airport,34.5243,76.1559
25264,Fukche Advanced Landing Ground,32.9374,79.2132
25265,Jhunjhunu Airport,28.1067,75.3756
25266,Pilani New Airport,28.3488,75.5937
25267,Kalka Airport,30.82457,76.88365
25268,Nagaur Airport,27.2083,73.7114
25269,Kalyanpur Airport,26.5204,80.2329
25270,Band Tal Airport,26.0001,78.2618
25271,Bharkot Airport,30.5829,78.3234
25272,Jallowal Airport,31.56,75.3413
25273,Akbarpur Airport,26.4476,82.5682
25274,Agra Airport,27.1558,77.9609
25275,Dhanipur Airstrip,27.86086,78.14687
25276,Allahabad Airport,25.4401,81.7339
25277,Ambala Air Force Station,30.3681,76.8167
25278,Sri Guru Ram Dass Jee International Airport Amritsar,31.7096,74.7973
25279,Awantipur Air Force Station,33.8766,74.9757
25280,Adampur Air Force Station,31.4338,75.7588
25281,Nal Airport,28.0706,73.2072
25282,Bakshi Ka Talab Air Force Station,26.9883,80.8931
25283,Kullu Manali Airport,31.8767,77.1544
25284,Bhatinda Air Force Station,30.2701,74.7558
25285,Bhiwani Airport,28.837,76.1791
25286,Bareilly Air Force Station,28.4221,79.4508
25287,Chandigarh Airport,30.6735,76.7885
25288,Kanpur Chakeri Airport,26.4043,80.4101
25289,Safdarjung Airport,28.5845,77.2058
25290,Pithorgarh Airport,29.5936,80.2392
25291,Dehradun Airport,30.1897,78.1803
25292,Indira Gandhi International Airport,28.5665,77.1031
25293,Hindon Air Force Station,28.7077,77.3589
25294,Kangra Airport,32.1651,76.2634
25295,Gwalior Airport,26.2933,78.2278
25296,Hissar Airport,29.1794,75.7553
25297,Halwara Air Force Station,30.7485,75.6298
25298,Jhansi Airport,25.4912,78.5584
25299,Jodhpur Airport,26.2511,73.0489
25300,Jaipur International Airport,26.8242,75.8122
25301,Jaisalmer Airport,26.8887,70.865
25302,Jammu Airport,32.6891,74.8374
25303,Old Kanpur Airport,26.4414,80.3649
25304,"Kishangarh Airport, Ajmer",26.59117,74.81617
25305,Kota Airport,25.1602,75.8456
25306,Ludhiana Airport,30.8547,75.9526
25307,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465
25308,Chaudhary Charan Singh International Airport,26.7606,80.8893
25309,Lalitpur Airport,24.717,78.417
25310,Noida International Airport,28.17,77.61
25311,Pathankot Air Force Station,32.2338,75.6346
25312,Patiala Airport,30.3148,76.3645
25313,Pantnagar Airport,29.0334,79.4737
25314,Fursatganj Airport,26.2485,81.3805
25315,Sirsa Air Force Station,29.5606,75.0061
25316,Shimla Airport,31.0818,77.068
25317,Sarsawa Air Force Station,29.9939,77.4253
25318,Sheikh ul Alam Airport,33.9871,74.7742
25319,Satna Airport,24.5623,80.8549
25320,Shravasti Airport,27.503056,82.026944
25321,Uttarlai Airport,25.813,71.4823
25322,Udhampur Air Force Station,32.9022,75.1562
25382,Kovilpatti Airport,9.15389,77.8212
25383,Harihar Airport,14.5351,75.7874
25384,Campbell Bay Airport,7.01304,93.9228
25385,Hosur Airport,12.6613,77.7672
25386,Arkonam Airport,13.0712,79.6912
25387,Agatti Airport,10.8237,72.176
25388,HAL Airport,12.95,77.6682
25389,Bellary Airport,15.1628,76.8828
25390,Bengaluru International Airport,13.1979,77.7063
25391,Bidar Air Force Station,17.9081,77.4871
25392,Vijayawada Airport,16.5304,80.7968
25393,Coimbatore International Airport,11.03,77.0434
25394,Willingdon Island Air Base,9.94739,76.2731
25395,Cochin International Airport,10.152,76.4019
25396,Calicut International Airport,11.1368,75.9553
25397,Cuddapah Airport,14.51,78.7728
25398,Car Nicobar Air Force Station,9.15251,92.8196
25399,Dundigul Air Force Academy,17.6272,78.4034
25400,Dunakonda Airport,15.833,79.5
25401,Manohar International Airport,15.7322,73.868
25402,Kalaburagi,17.30778,76.95806
25403,Dabolim Airport,15.3808,73.8314
25404,Hakimpet Airport,17.5535,78.5249
25405,Rajiv Gandhi International Airport Shamshabad,17.23132,78.42986
25406,Begumpet Airport,17.4531,78.4676
25407,Vijayanagar Aerodrome (JSW),15.17497,76.63495
25408,Kannur International Airport,11.91583,75.54583
25409,Koppal Aerodrome,15.3591,76.2193
25410,Kurnool Airport,15.713681,78.161561
25411,Madurai Airport,9.83451,78.0934
25412,Mangalore International Airport,12.9613,74.8901
25413,Chennai International Airport,12.99001,80.1693
25414,Mysore Airport,12.3072,76.6497
25415,Nagarjuna Sagar Airport,16.5427,79.3187
25416,Vir Savarkar International Airport,11.6412,92.7297
25417,Pondicherry Airport,11.9687,79.8101
25418,Ramnad Naval Air Station,9.32509,78.9715
25419,Rajahmundry Airport,17.1104,81.8182
25420,Shivamogga Airport,13.854722,75.610556
25421,Salem Airport,11.7833,78.0656
25422,Coimbatore Air Force Station,11.0136,77.1597
25423,Tanjore Air Force Base,10.7224,79.1016
25424,Tuticorin Southwest Airport,8.72233,78.02617
25425,Tirupati Airport,13.6325,79.5433
25426,Tiruchirapally Civil Airport Airport,10.7654,78.7097
25427,Trivandrum International Airport,8.48212,76.9201
25428,Tambaram Air Force Station,12.9072,80.1219
25429,Vellore Airport,12.9088,79.0668
25430,Vishakhapatnam Airport,17.7212,83.2245
25431,Warangal Airport,17.9144,79.6022
25432,Yelahanka Air Force Station,13.1355,77.606
